time,rms_ch1,rms_ch2,mav_ch1,mav_ch2,mse_ch1,mse_ch2,label
495.0,0.5835235999969799,0.5903358872780935,0.5061224489795912,0.5155102040816334,0.3404997917534354,0.34849645980841387,index_finger
595.0,0.5914742028283323,0.5901841812209412,0.5165306122448974,0.5157142857142865,0.3498417326114112,0.34831736776343275,index_finger
695.0,0.5980462428787654,0.5815968481639606,0.5240816326530606,0.50795918367347,0.3576593086214072,0.33825489379425305,index_finger
795.0,0.5978442461103446,0.5662778063246525,0.5248979591836729,0.4973469387755107,0.35741774260724624,0.3206705539358607,index_finger
895.0,0.5835485809016983,0.55541332808511,0.5104081632653055,0.48346938775510273,0.3405289462723859,0.30848396501457803,index_finger
995.0,0.5905933455362944,0.5703524853261374,0.5169387755102035,0.5022448979591843,0.3488004997917528,0.32530195751770175,index_finger
1095.0,0.5724698966675773,0.5740102032653503,0.4938775510204076,0.5065306122448987,0.32772178259058665,0.3294877134527288,index_finger
1195.0,0.5677505538338044,0.564277410722388,0.4897959183673462,0.4991836734693884,0.32234069137859156,0.3184089962515626,index_finger
1295.0,0.5732805266758344,0.5562750211978458,0.4981632653061217,0.4891836734693885,0.3286505622657221,0.3094418992086638,index_finger
1395.0,0.550082345885877,0.5548844111202715,0.47183673469387694,0.4791836734693885,0.3025905872553096,0.30789670970429056,index_finger
1495.0,0.5607456213041206,0.5537235284320079,0.4857142857142851,0.47326530612244966,0.3144356518117443,0.30660974593919266,index_finger
1595.0,0.5507331072627055,0.5600916209931248,0.47428571428571353,0.4771428571428579,0.30330695543523467,0.3137026239067062,index_finger
1695.0,0.5521643454532689,0.569376782865535,0.47693877551020347,0.48775510204081696,0.3048854643898369,0.32418992086630655,index_finger
1795.0,0.5491009652642613,0.5818903832846021,0.472448979591836,0.5006122448979599,0.3015118700541435,0.3385964181591011,index_finger
1895.0,0.5387136637353926,0.5805934145649911,0.46489795918367277,0.49816326530612315,0.2902124114952097,0.3370887130362356,index_finger
1995.0,0.545230350350907,0.5721751682457206,0.4689795918367341,0.4871428571428579,0.29727613494377275,0.3273844231570186,index_finger
2095.0,0.5501202019269025,0.5781384479282871,0.4746938775510197,0.49306122448979656,0.30263223656809596,0.33424406497292863,index_finger
2195.0,0.5521266295670321,0.5871276412660988,0.48061224489795845,0.5034693877551026,0.30484381507705066,0.3447188671386928,index_finger
2295.0,0.5497718280254652,0.5824055015736238,0.47999999999999937,0.4989795918367353,0.3022490628904617,0.3391961682632243,index_finger
2395.0,0.5410280679062688,0.5896829211719351,0.4730612244897953,0.5091836734693884,0.2927113702623902,0.3477259475218666,index_finger
2495.0,0.5272222952462724,0.597091381156237,0.45530612244897894,0.51795918367347,0.27796334860474764,0.35651811745106277,index_finger
2595.0,0.5199958350520413,0.594637987092535,0.44489795918367286,0.5155102040816333,0.2703956684714697,0.3535943356934619,index_finger
2695.0,0.5114189617482434,0.5830880466425662,0.4367346938775505,0.5020408163265313,0.2615493544356513,0.33999167013744347,index_finger
2795.0,0.5126675222190225,0.5812494262020614,0.4377551020408157,0.49959183673469454,0.2628279883381919,0.3378508954602257,index_finger
2895.0,0.5173056780229509,0.5996493491540358,0.4395918367346932,0.5185714285714291,0.26760516451478494,0.3595793419408588,index_finger
2995.0,0.5103224352521637,0.6169209189527997,0.4332653061224484,0.5375510204081639,0.2604289879216988,0.3805914202415668,index_finger
3095.0,0.516705515505949,0.6194642389653622,0.4406122448979585,0.5397959183673477,0.26698458975426853,0.38373594335693534,index_finger
3195.0,0.5245890480218358,0.624209621023867,0.44326530612244835,0.5481632653061231,0.275193669304456,0.38963765097875963,index_finger
3295.0,0.5266215710074884,0.6392578214349226,0.4451020408163259,0.5700000000000007,0.27733027905039515,0.40865056226572344,index_finger
3395.0,0.5322619566566412,0.6471737164332181,0.45530612244897894,0.5779591836734701,0.28330279050395624,0.4188338192419833,index_finger
3495.0,0.5414859158690535,0.6553118107787366,0.46469387755101976,0.587142857142858,0.29320699708454767,0.4294335693461067,index_finger
3595.0,0.5659577766182018,0.6514073445470049,0.4963265306122443,0.5795918367346945,0.32030820491461837,0.42433152852978034,index_finger
3695.0,0.5848461175880443,0.6594521472611045,0.5157142857142851,0.5857142857142864,0.3420449812578086,0.43487713452728144,index_finger
3795.0,0.5972692265187214,0.6604713523918204,0.5279591836734688,0.5826530612244905,0.3567305289462718,0.4362224073302803,index_finger
3895.0,0.6038747577371234,0.6409657956451392,0.535102040816326,0.5632653061224496,0.3646647230320695,0.41083715118700637,index_finger
3995.0,0.6150412331304667,0.6291807277496634,0.5477551020408157,0.5502040816326538,0.37827571845064506,0.3958683881715961,index_finger
